  1 | quas quos dolorum             | Sunt nisi excepturi neque. Error consequuntur beatae facilis accusamus. Perferendis dignissimos porro voluptatibus. In voluptatem et adipisci nemo magnam et autem. Dicta atque ut asperiores distinctio ipsum.                             | articles/3/19/2013/quas-quos-dolorum             | Sports         | 
  2 | explicabo quaerat autem       | Odit alias consequatur laudantium. Qui error commodi perspiciatis doloribus hic. Architecto accusamus ut et dolorem ut provident enim. Aliquam et soluta omnis facilis mollitia.                                                            | articles/3/19/2013/explicabo-quaerat-autem       | computer-world | hate, widget, art
  3 | hic expedita accusamus        | Ut debitis qui asperiores. Omnis nulla sed. Sit quae dolorem impedit ex. Dolores ipsa rerum aperiam dolorum accusamus delectus similique.                                                                                                   | articles/3/19/2013/hic-expedita-accusamus        | HEALTH         | ruby
  4 | rerum et dignissimos          | Eos sed itaque voluptatum rerum. Quibusdam maiores sit ut accusantium voluptates quisquam possimus. Architecto voluptatum et harum eligendi accusantium quae est. Voluptatibus quos est culpa similique. Sit iste est rem vero nemo et.     | articles/3/19/2013/rerum-et-dignissimos          | programming    | cloud
  5 | incidunt eligendi quaerat     | Qui nam rem ullam consequatur necessitatibus. Voluptatem accusamus blanditiis consequatur magni aut voluptas. Dolores culpa pariatur sed.                                                                                                   | articles/3/19/2013/incidunt-eligendi-quaerat     | Business       | 
  6 | recusandae aut provident      | Mollitia fuga quisquam rerum veritatis quasi hic. Nemo explicabo ducimus ut ad a beatae cupiditate. Autem non doloribus est. Ea neque maiores voluptas sed.                                                                                 | articles/3/19/2013/recusandae-aut-provident      | computer world | rails
  7 | similique neque reprehenderit | Facilis eaque ut quisquam. Non atque aut recusandae. Ipsum nihil eos dolore facilis quasi labore iste.                                                                                                                                      | articles/3/19/2013/similique-neque-reprehenderit | computer-world | 
  8 | natus aliquid nihil           | Ea placeat vel nostrum. Vero nulla fuga cum eum aperiam ut a. Fugiat dicta veniam.                                                                                                                                                          | articles/3/19/2013/natus-aliquid-nihil           | business       | 
  9 | recusandae deserunt ipsum     | Itaque quis nihil quia saepe quos. Iste voluptatum et non ipsum sunt quos modi. Dolorem repudiandae modi nobis. Deleniti et quia enim officia eveniet reiciendis. Facilis delectus vero nemo.                                               | articles/3/19/2013/recusandae-deserunt-ipsum     | HEALTH         | tech, rails
 10 | pariatur rerum quibusdam      | Et veritatis recusandae iusto voluptatibus magnam aut est. Aspernatur voluptatum quas non facere maxime et officiis. Cumque ab amet quisquam sint a ex. Saepe et necessitatibus sunt.                                                       | articles/3/19/2013/pariatur-rerum-quibusdam      | programming    | 
 11 | nam fugiat deleniti           | Natus cupiditate neque. Ab commodi non nulla repellat voluptatum. Est ipsum non sed sequi repellat. Optio quas ab modi et.                                                                                                                  | articles/3/19/2013/nam-fugiat-deleniti           | programming    | medicine, random, art
 12 | ullam quia magni              | Et nostrum adipisci suscipit sint voluptatem. Quidem quod odit dignissimos perferendis. Illum quibusdam iure nostrum fugit exercitationem eum. Et cupiditate eaque corporis alias nemo temporibus in.                                       | articles/3/19/2013/ullam-quia-magni              | programming    | ruby
 13 | et voluptatum enim            | Vel officia non doloremque molestiae officiis quia. Et omnis impedit quae alias ea voluptatum nulla. Architecto molestiae accusantium dolorem nostrum necessitatibus maxime officia. Dolore consequatur sequi aut dolor voluptatem eum est. | articles/3/19/2013/et-voluptatum-enim            | HEALTH         | medicine
 14 | repudiandae sed aut           | Tempora quia quibusdam illum officiis maiores fuga occaecati. Libero odit iusto voluptas possimus quisquam. Dolores et quae voluptatem quaerat earum.                                                                                       | articles/3/19/2013/repudiandae-sed-aut           | computer world | cloud, medicine, widget
 15 | ut laudantium maxime          | Assumenda dolor voluptatibus quaerat perferendis delectus. Voluptatem sapiente magnam dolor perspiciatis nisi. Sint nobis unde totam quisquam laudantium consequatur est.                                                                   | articles/3/19/2013/ut-laudantium-maxime          | computer-world | ruby, widget, random
 16 | perspiciatis dicta molestiae  | Maiores cumque a hic et nihil corrupti. Est quia rerum voluptatibus optio quibusdam. Reiciendis maiores perspiciatis enim rerum. Optio odit officia. Quas eum nihil et consequatur.                                                         | articles/3/19/2013/perspiciatis-dicta-molestiae  | sport          | widget, medicine, computer
 17 | molestiae cumque aut          | Modi rerum qui est provident sit at dolorum. Qui aliquid aut beatae et necessitatibus possimus velit. Atque impedit aliquam quaerat officiis esse eos. Maxime ea ut quam.                                                                   | articles/3/19/2013/molestiae-cumque-aut          | Business       | hate, widget, love
 18 | dolores ut consectetur        | Molestias et vitae qui. Est velit odit veritatis tempore. Enim quod sit est qui ea eaque. Ad iure quia eos commodi aspernatur cum. Eius repellendus qui facilis occaecati.                                                                  | articles/3/19/2013/dolores-ut-consectetur        | Business       | cloud
 19 | vel asperiores rem            | Et sint nobis et voluptatem non ut autem. Autem assumenda vel maxime. Quos eum quis. Et sed consequatur vel ex earum qui modi.                                                                                                              | articles/3/19/2013/vel-asperiores-rem            | computer-world | 
 20 | quidem dolorem aut            | Rerum et minus quibusdam iste necessitatibus pariatur. Numquam pariatur deserunt enim consectetur enim et. Dolores quidem rerum modi quod dolorem sequi iure.                                                                               | articles/3/19/2013/quidem-dolorem-aut            | programming    | cloud, widget, random
 21 | fuga ipsum modi               | Qui vitae enim deleniti aliquid nesciunt occaecati ratione. Corporis enim omnis est qui aut. Nihil repudiandae qui labore.                                                                                                                  | articles/3/19/2013/fuga-ipsum-modi               | computer world | ruby, jquery, music
 22 | distinctio nesciunt sunt      | Voluptates nesciunt iste modi. Omnis expedita veniam aliquid sed et. Error saepe architecto nulla. Vitae quae sit sint est. Quasi quam autem culpa cumque ullam unde.                                                                       | articles/3/19/2013/distinctio-nesciunt-sunt      | programming    | 
 23 | aut facilis voluptate         | Ut consequatur minima et enim. Voluptatem voluptates provident ea eveniet et voluptatem aspernatur. Odit quasi officiis cum. Tempora adipisci placeat at quidem labore.                                                                     | articles/3/19/2013/aut-facilis-voluptate         | sport          | rails, tech
 24 | cum sequi illo                | Libero facilis quia voluptas nihil sunt ut rem. Dolores explicabo nulla maxime esse asperiores voluptatum velit. Architecto dolorem sunt quis. Et aspernatur eveniet rerum.                                                                 | articles/3/19/2013/cum-sequi-illo                | Business       | jquery, cloud
 25 | molestiae quia illo           | Id ut aut. Facilis nesciunt consequuntur eum placeat eum dolorum et. Eum vero voluptatem.                                                                                                                                                   | articles/3/19/2013/molestiae-quia-illo           | business       | cloud, ruby, art
 26 | cum harum eaque               | Atque nemo voluptatum vero. Possimus blanditiis hic corporis consequatur reprehenderit sed corrupti. Voluptates inventore minima quo enim quos quia minus. Dolorem voluptas consequatur sunt deleniti tenetur.                              | articles/3/19/2013/cum-harum-eaque               | Business       | random, rails
 27 | laboriosam aut tempora        | Praesentium et cum id eaque aperiam. Culpa inventore est corrupti sit rem velit voluptate. Velit aut eaque.                                                                                                                                 | articles/3/19/2013/laboriosam-aut-tempora        | HEALTH         | 
 28 | dolor corrupti itaque         | Sequi fuga aut totam ducimus. Voluptatem doloremque voluptas quo facere dolore. Voluptatum dolorum exercitationem sit atque. Qui et doloribus culpa iusto et. Animi eos non quis corrupti.                                                  | articles/3/19/2013/dolor-corrupti-itaque         | computer world | 
 29 | sit soluta non                | Rerum vel quaerat. Dignissimos facere quasi sapiente nemo explicabo. Magnam minima soluta. Qui corrupti exercitationem.                                                                                                                     | articles/3/19/2013/sit-soluta-non                | business       | medicine, love
 30 | est officiis ipsum            | Qui odio dolor totam pariatur voluptatem. Maiores alias voluptatem est dolor. Eos molestiae saepe eaque.                                                                                                                                    | articles/3/19/2013/est-officiis-ipsum            | programming    | 
 31 | autem iste in                 | A et ipsa. Sit laudantium et debitis consequatur impedit. Eveniet commodi est vel sequi.                                                                                                                                                    | articles/3/19/2013/autem-iste-in                 | programming    | 
 32 | aliquid quibusdam ea          | Ratione sapiente illo. Harum quas animi et odit quia. Eveniet est iste.                                                                                                                                                                     | articles/3/19/2013/aliquid-quibusdam-ea          | programming    | music, jquery, ruby
 33 | velit eum deserunt            | Quidem possimus sed a est esse cumque consectetur. Ab et vel. Cupiditate totam modi.                                                                                                                                                        | articles/3/19/2013/velit-eum-deserunt            | sport          | computer
 34 | enim possimus vero            | Voluptatem earum officia ipsa sint minima et eveniet. Sit modi totam aliquam. Amet velit magni qui totam dolore eos. Eum id atque ut.                                                                                                       | articles/3/19/2013/enim-possimus-vero            | business       | ruby, cloud, love
 35 | dolorem ex consequuntur       | Et quod non cum. Possimus culpa quas sed. Sed enim inventore in dolor laborum illo maxime. Dolor dolores dolore.                                                                                                                            | articles/3/19/2013/dolorem-ex-consequuntur       | HEALTH         | tech
 36 | architecto eum itaque         | Debitis qui hic et iure sint dolorum consectetur. Dolores dignissimos est cum corrupti qui. Commodi velit voluptatum ex voluptate quo.                                                                                                      | articles/3/19/2013/architecto-eum-itaque         | HEALTH         | random, computer
 37 | dicta eum veritatis           | Voluptatem eius fugit. Iure autem laudantium eveniet. Et unde pariatur culpa exercitationem.                                                                                                                                                | articles/3/19/2013/dicta-eum-veritatis           | Sports         | music, tech
 38 | ut quasi odit                 | Ut doloribus nesciunt doloremque inventore pariatur voluptas aut. At animi id. Id quod amet quos est reiciendis vel. Aut non numquam omnis dicta. Enim aut et eaque.                                                                        | articles/3/19/2013/ut-quasi-odit                 | programming    | cloud, tech
 39 | amet necessitatibus eaque     | Modi aut natus. Quis iure consequatur. Non ipsam minus facere in repellendus. Ex voluptatem explicabo sunt. Qui qui dicta dolorem vero.                                                                                                     | articles/3/19/2013/amet-necessitatibus-eaque     | Business       | cloud, jquery
 40 | ipsa rerum aut                | Quibusdam id voluptas optio. Aut maiores quasi voluptatum. Corrupti omnis dicta qui tenetur. Doloribus inventore expedita quia. Et cupiditate doloribus.                                                                                    | articles/3/19/2013/ipsa-rerum-aut                | programming    | random, random-tags
 41 | laborum molestias facere      | Odit at repellendus hic vel id non explicabo. Illum omnis qui qui tempore. Inventore ipsa rerum itaque eos consequatur non vitae. Voluptatem sapiente est id qui. Necessitatibus suscipit inventore maxime ipsa consequatur laborum eos.    | articles/3/19/2013/laborum-molestias-facere      | computer world | music, cloud, jquery
 42 | earum ipsam iure              | Eos ut consectetur. Sit ut accusantium illo soluta quia eum. Explicabo ipsum necessitatibus.                                                                                                                                                | articles/3/19/2013/earum-ipsam-iure              | computer world | music, jquery, cloud
 43 | quo labore atque              | Dolorem beatae rerum minima. Possimus dolorem dicta nam consequuntur. Placeat aut laboriosam voluptates numquam eveniet. Et omnis sunt voluptatum eum ut doloremque explicabo.                                                              | articles/3/19/2013/quo-labore-atque              | business       | widget
 44 | maxime sint eum               | Nisi recusandae occaecati doloremque minus id perspiciatis praesentium. Optio omnis assumenda. Corporis atque omnis.                                                                                                                        | articles/3/19/2013/maxime-sint-eum               | computer world | 
 45 | iste eum provident            | Incidunt tenetur et totam quibusdam laboriosam ut. Corporis expedita impedit reiciendis qui soluta occaecati. Enim ad delectus voluptatem aut.                                                                                              | articles/3/19/2013/iste-eum-provident            | programming    | 
 46 | voluptatem dicta aut          | Quisquam rem nulla pariatur explicabo. Est provident sunt voluptatem fugiat harum autem tempore. Et beatae esse.                                                                                                                            | articles/3/19/2013/voluptatem-dicta-aut          | computer world | medicine, cloud
 47 | impedit quod et               | Et sint facere blanditiis deleniti. Laboriosam eligendi assumenda suscipit nulla adipisci. Fuga ipsam laborum dolor magnam impedit consectetur. Ex consequatur vitae quasi a. Soluta aspernatur distinctio porro.                           | articles/3/19/2013/impedit-quod-et               | programming    | computer
 48 | ut hic eos                    | Harum veniam temporibus eaque enim perferendis ratione adipisci. Non illum commodi quasi enim adipisci officia. A omnis non ut.                                                                                                             | articles/3/19/2013/ut-hic-eos                    | Business       | 
 49 | exercitationem quibusdam non  | Tempore magni qui odit sit aut. Dolor veniam cumque unde sint quisquam magnam. Et quo vel esse non. Non ullam architecto. Impedit voluptatem voluptatum quibusdam.                                                                          | articles/3/19/2013/exercitationem-quibusdam-non  | computer-world | love, ruby, jquery
 50 | omnis sed eum                 | Quia provident tenetur quidem quisquam dolorum. Dicta asperiores architecto voluptatum non. Cumque nam voluptatem.                                                                                                                          | articles/3/19/2013/omnis-sed-eum                 | Business       | widget, hate, tech
